Chip,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5,Peak 6,Peak 7,Peak 8,Peak 9,Peak 10,Peak 11,Peak 12,Peak 13,Peak 14,Peak 15,Peak 16,Peak 17,Peak 18,Peak 19,Peak 20,Peak 21,Peak 22,Peak 23,Peak 24,Peak 25,Peak 26,Peak 27,Peak 28,Peak 29,Peak 30,Peak 31,Peak 32,Temperature,Class
1,0.874145806,0.639551282,0.609063745,0.640758932,0.646980166,0.632607996,0.626218975,0.622835159,0.540083647,0.550216973,0.565491557,0.551158011,0.541703939,0.594949007,0.505961001,0.447192132,0.477949947,0.536213815,0.467497766,0.477818847,0.471847296,0.414504141,0.439965457,0.437924832,0.525920868,0.40126726,0.464106351,0.461622447,0.429419041,0.520283341,0.429676294,0.444573015,20.0,1
1,0.873477817,0.640616596,0.605781138,0.651269674,0.652623296,0.641560495,0.627774715,0.614162207,0.548272729,0.556837499,0.556228995,0.53639096,0.539806962,0.594116449,0.501322091,0.452962488,0.470124662,0.536102295,0.46386686,0.483915418,0.47490266,0.41565448,0.429274946,0.441059381,0.51900363,0.394838989,0.473665029,0.453496665,0.433423698,0.508300245,0.43083474,0.436002076,20.1,1
1,0.877760708,0.637535274,0.598587692,0.650857747,0.655146837,0.63795352,0.6247316,0.628069341,0.545321405,0.561182141,0.567879915,0.537237823,0.543369889,0.597178936,0.490673184,0.456301987,0.475060344,0.536579669,0.467233002,0.480402142,0.470005691,0.420853853,0.438343674,0.450036019,0.514469802,0.395833284,0.466326624,0.466947049,0.434733123,0.521262169,0.418584049,0.445627332,20.2,1
1,0.88125664,0.647984564,0.60077852,0.653901219,0.65054965,0.641905427,0.628754497,0.612057865,0.555541098,0.561962843,0.562856913,0.534138083,0.532777131,0.604130268,0.487605631,0.460135758,0.480081558,0.530076802,0.457185388,0.47751689,0.463538975,0.418793559,0.43078351,0.457021415,0.528664589,0.406747311,0.4737463,0.464967251,0.436280519,0.511505365,0.424871922,0.435355991,20.3,1
1,0.897082448,0.642172158,0.601736605,0.664858282,0.645770609,0.648285806,0.61877197,0.61398387,0.565494359,0.555191875,0.568751812,0.522271872,0.538770199,0.590290844,0.484141707,0.449901849,0.481393635,0.528696895,0.451036811,0.470097542,0.458658427,0.412449121,0.430645436,0.452755541,0.525051296,0.406125456,0.472614795,0.468327671,0.439738572,0.504938245,0.414096832,0.436215311,20.4,1
1,0.892509758,0.644296527,0.602315307,0.659183204,0.642160475,0.652759135,0.62328279,0.623776615,0.562896967,0.560044885,0.574275255,0.520006418,0.534991682,0.596953034,0.468396068,0.461257011,0.477006882,0.53484118,0.442943811,0.489413321,0.47026366,0.407189578,0.434203863,0.452171206,0.516059756,0.413342118,0.466933787,0.464243889,0.435367793,0.505632281,0.411827266,0.443179816,20.5,1
1,0.890020072,0.659676731,0.593105257,0.675162554,0.65039283,0.662659526,0.620104849,0.622419417,0.578263164,0.564617217,0.570130289,0.514909565,0.540088177,0.592704654,0.470356852,0.450154871,0.475053728,0.530660272,0.435429305,0.483681083,0.462962568,0.392216831,0.426169157,0.461895555,0.514642298,0.412364453,0.465000838,0.469905525,0.436377287,0.508692563,0.40957883,0.442873418,20.6,1
1,0.888074934,0.663269222,0.595201075,0.67440629,0.631658852,0.654914975,0.621442676,0.614483178,0.588200867,0.554231942,0.567146659,0.51319617,0.529202759,0.600997508,0.462100297,0.457725018,0.469024241,0.532588601,0.43296808,0.485804856,0.463099688,0.387524545,0.432577938,0.460342467,0.525604367,0.406011313,0.472793788,0.461429566,0.430327296,0.502059281,0.41351521,0.443126112,20.7,1
1,0.90066278,0.660343885,0.587689042,0.675997913,0.649508178,0.656443238,0.606163442,0.611881733,0.590827882,0.565945923,0.573051751,0.501874447,0.537029803,0.592487276,0.460031301,0.466004431,0.476243824,0.53701812,0.423823833,0.470841378,0.471071929,0.395942777,0.43441093,0.460140347,0.515904546,0.397988588,0.46648708,0.458207279,0.427978754,0.500294507,0.415417314,0.446777642,20.8,1
1,0.900934041,0.657096624,0.583290279,0.674814939,0.64410162,0.665899515,0.621580362,0.608061254,0.587317765,0.562480927,0.564108551,0.5010885,0.530276179,0.595793068,0.453046441,0.470005363,0.475598454,0.534011841,0.4307428,0.480853796,0.478298426,0.388744742,0.429304898,0.458713561,0.51878649,0.393355131,0.4691706,0.46621421,0.435411811,0.508119345,0.413047522,0.441182375,20.9,1
1,0.915654361,0.668636322,0.590838611,0.677517414,0.639970124,0.660951853,0.62255311,0.613881111,0.597942233,0.568997264,0.55621779,0.498071462,0.52441448,0.602638364,0.444164127,0.465371221,0.471852511,0.544410527,0.434674382,0.476819336,0.495031178,0.388102531,0.441928893,0.457128197,0.514305115,0.403054088,0.467965931,0.452072799,0.424777091,0.510107458,0.419303089,0.441802174,21.0,1
1,0.912059486,0.673479736,0.59034884,0.696118772,0.643705368,0.660185516,0.627080381,0.616344571,0.603843749,0.545418382,0.567102671,0.499391079,0.528663576,0.595881045,0.4506796,0.471815497,0.472470254,0.545304239,0.436129272,0.47827062,0.489540309,0.397633016,0.436037272,0.44450745,0.511905551,0.386157811,0.470167935,0.463646382,0.429522544,0.510860801,0.418308228,0.453686208,21.1,1
1,0.919777393,0.6749506,0.58650285,0.685026765,0.638339162,0.661562681,0.628136575,0.620521367,0.606024444,0.549809337,0.561212242,0.498251975,0.528591156,0.602384567,0.452013344,0.468256742,0.492712885,0.544148922,0.444945991,0.478158385,0.490950435,0.408356339,0.433588624,0.44717598,0.515033126,0.388876259,0.466391057,0.44993934,0.427719474,0.504566848,0.421506613,0.438677222,21.2,1
1,0.909583271,0.671541274,0.58741492,0.681466103,0.647244453,0.666411877,0.625617027,0.612744391,0.602046967,0.555487633,0.5597893,0.493985116,0.53225112,0.599709451,0.45732975,0.467640191,0.490997881,0.535800397,0.452781945,0.475218952,0.490062773,0.408412874,0.437784195,0.443584502,0.511487603,0.394127309,0.464544177,0.453969002,0.430175483,0.503127456,0.420565844,0.440551102,21.3,1
1,0.926761806,0.686540306,0.583198965,0.688593507,0.641119242,0.666507781,0.625522554,0.606877625,0.608008564,0.554638445,0.554538548,0.49941209,0.52848649,0.602518439,0.470527351,0.4798145,0.486433715,0.542636693,0.452817202,0.473806381,0.485962987,0.414809674,0.428246468,0.443537503,0.516100407,0.393594742,0.466672391,0.455420256,0.434383124,0.509702981,0.41609621,0.446243852,21.4,1
1,0.927475214,0.68622452,0.582220495,0.687919021,0.635792851,0.650602281,0.628347754,0.618624568,0.60937351,0.554102302,0.54550451,0.494167984,0.528026462,0.606743515,0.468423903,0.473054171,0.482143521,0.539012611,0.448235333,0.483949989,0.47921747,0.425630689,0.429368824,0.437839299,0.523079515,0.397541493,0.469808906,0.456825525,0.431844205,0.506821215,0.425543696,0.452416331,21.5,1
1,0.926336229,0.692462921,0.579399586,0.690891802,0.637239039,0.655250907,0.626920879,0.614223242,0.597437203,0.561202884,0.557899773,0.500256002,0.524751127,0.611975253,0.478245169,0.471805394,0.478210568,0.535396159,0.464724183,0.472105891,0.481453598,0.426074743,0.443062752,0.445023447,0.523322403,0.397575706,0.470750332,0.465157449,0.427807957,0.504061997,0.413551092,0.444089711,21.6,1
1,0.940437555,0.692455232,0.577298284,0.696454406,0.642607749,0.659741282,0.633739293,0.609151065,0.590053916,0.558707535,0.551270485,0.512530386,0.520339549,0.607053578,0.471858054,0.480890423,0.476282775,0.534812152,0.462666243,0.474094301,0.476407588,0.421225637,0.435728461,0.442835391,0.51942873,0.40693444,0.471507907,0.472093821,0.433789909,0.518355131,0.411960781,0.446952194,21.7,1
